original_product_id,product_id,product_name,item_no,price_per_unit,shippable,family_category_id,description
422,NULL,Galvanized Welded Wire,AFCGWW2X4,NULL,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3457,NULL,Galvanized 3 x 2,AFCGWW3X2,NULL,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3458,NULL,Galvanized 1 x 2,AFCGWW1X2,NULL,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3459,NULL,Galvanized 1 X 1,AFCGWW1X1,NULL,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3460,NULL,Galvanized 1/2 x 1,AFCGWW12X1,NULL,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3358,NULL,Welded Wire - Galvanized,WW24145036,60.0,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3359,NULL,Welded Wire - Galvanized,WW24145048,90.0,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3360,NULL,Welded Wire - Galvanized,WW24145060,95.0,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3361,NULL,Welded Wire - Galvanized,WW24145072,120.0,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
3362,NULL,Welded Wire - Galvanized,WW241410036,120.0,1,3,"This galvanized welded wire roll has numerous properties that make it a good choice as a fence and many other applications. The zinc layer on its surface gives it extra protection and offers excellent corrosion resistance and high strengths, even at thinner gauges. It is flexible and will not break when bent. It maintains its properties in hot and cold temperatures. It’s low cost makes it the perfect choice over base metal like aluminum or stainless steel. It’s durability makes it a good choice over less resistant plastic fencing options."
